x,f(x)
-3.000000,1.000000
-2.900000,1.000000
-2.800000,1.000000
-2.700000,1.000000
-2.600000,1.000000
-2.500000,1.000000
-2.400000,1.000000
-2.300000,1.000000
-2.200000,1.000000
-2.100000,1.000000
-2.000000,1.000000
-1.900000,1.000000
-1.800000,1.000000
-1.700000,1.000000
-1.600000,1.000000
-1.500000,1.000000
-1.400000,1.000000
-1.300000,1.000000
-1.200000,1.000000
-1.100000,1.000000
-1.000000,1.000000
-0.900000,1.000000
-0.800000,1.000000
-0.700000,1.000000
-0.600000,1.000000
-0.500000,1.000000
-0.400000,1.000000
-0.300000,1.000000
-0.200000,1.000000
-0.100000,1.000000
0.000000,-5573564139.233804
0.100000,-7806.135453
0.200000,-1302.353186
0.300000,-305.099169
0.400000,-77.897606
0.500000,-19.296784
0.600000,-4.194894
0.700000,-0.696179
0.800000,-0.066724
0.900000,-0.001566
1.000000,NaN
1.100000,0.000949
1.200000,0.024297
1.300000,0.149927
1.400000,0.520120
1.500000,1.321676
1.600000,2.766073
1.700000,5.073521
1.800000,8.461674
1.900000,13.138280
2.000000,19.296784
2.100000,27.114013
2.200000,36.749268
2.300000,48.344351
2.400000,62.024154
2.500000,77.897606
2.600000,96.058789
2.700000,116.588143
2.800000,139.553669
2.900000,165.012106
3.000000,193.010041
3.100000,223.584949
3.200000,256.766154
3.300000,292.575709
3.400000,331.029189
3.500000,372.136420
3.600000,415.902130
3.700000,462.326533
3.800000,511.405864
3.900000,563.132841
4.000000,617.497101
4.100000,674.485567
4.200000,734.082797
4.300000,796.271277
4.400000,861.031701
4.500000,928.343205
4.600000,998.183588
4.700000,1070.529499
4.800000,1145.356615
4.900000,1222.639788
5.000000,1302.353186
5.100000,1384.470413
5.200000,1468.964617
5.300000,1555.808587
5.400000,1644.974839
5.500000,1736.435696
5.600000,1830.163346
5.700000,1926.129915
5.800000,2024.307511
5.900000,2124.668276
6.000000,2227.184426
6.100000,2331.828290
6.200000,2438.572339
6.300000,2547.389219
6.400000,2658.251772
6.500000,2771.133060
6.600000,2886.006385
6.700000,3002.845305
6.800000,3121.623643
6.900000,3242.315508
7.000000,3364.895299
7.100000,3489.337713
7.200000,3615.617759
7.300000,3743.710755
7.400000,3873.592341
7.500000,4005.238472
7.600000,4138.625432
7.700000,4273.729828
7.800000,4410.528595
7.900000,4548.998993
8.000000,4689.118610
8.100000,4830.865358
8.200000,4974.217473
8.300000,5119.153517
8.400000,5265.652366
8.500000,5413.693219
8.600000,5563.255586
8.700000,5714.319293
8.800000,5866.864470
8.900000,6020.871562
9.000000,6176.321302
9.100000,6333.194731
9.200000,6491.473181
9.300000,6651.138276
9.400000,6812.171925
9.500000,6974.556320
9.600000,7138.273930
9.700000,7303.307501
9.800000,7469.640050
9.900000,7637.254853
10.000000,7806.135453
